question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Which bone forms the forehead?,Frontal bone,Parietal bone,Temporal bone,Occipital bone,A,The frontal bone is a single bone that forms the forehead and upper part of the eye sockets
How many cervical vertebrae are in the human spine?,5,6,7,8,C,There are 7 cervical vertebrae in the neck region labeled C1 through C7
What is the largest bone in the human body?,Humerus,Tibia,Femur,Fibula,C,The femur (thigh bone) is the longest and strongest bone in the human body
Which muscle is responsible for breathing?,Diaphragm,Intercostal muscles,Pectoralis major,Latissimus dorsi,A,The diaphragm is the primary muscle of respiration
How many chambers does the human heart have?,2,3,4,5,C,The heart has 4 chambers: 2 atria and 2 ventricles
What is the smallest bone in the human body?,Stapes,Malleus,Incus,Hyoid,A,The stapes in the middle ear is the smallest bone measuring about 2.8mm
Which organ produces insulin?,Liver,Pancreas,Spleen,Gallbladder,B,The pancreas produces insulin from beta cells in the islets of Langerhans
What type of joint is the shoulder?,Hinge joint,Ball and socket joint,Pivot joint,Saddle joint,B,The shoulder is a ball and socket joint allowing wide range of motion
How many pairs of ribs does a human have?,10,11,12,13,C,Humans typically have 12 pairs of ribs (24 total ribs)
Which part of the brain controls balance?,Cerebrum,Cerebellum,Medulla oblongata,Hypothalamus,B,The cerebellum at the back of the brain controls balance and coordination
What is the medical term for the collarbone?,Clavicle,Scapula,Sternum,Humerus,A,The clavicle is the medical term for the collarbone
Which blood vessel carries oxygenated blood from lungs to heart?,Pulmonary artery,Pulmonary vein,Aorta,Vena cava,B,The pulmonary vein carries oxygen-rich blood from lungs to left atrium
What is the largest organ in the human body?,Heart,Liver,Skin,Brain,C,The skin is the largest organ covering the entire body surface
Which bone protects the brain?,Skull,Vertebrae,Ribs,Sternum,A,The skull bones form a protective case around the brain
How many lobes does the right lung have?,1,2,3,4,C,The right lung has 3 lobes: superior middle and inferior
What is the name of the windpipe?,Esophagus,Trachea,Bronchus,Larynx,B,The trachea is the medical term for the windpipe
Which muscle extends the knee joint?,Biceps femoris,Quadriceps femoris,Gastrocnemius,Hamstrings,B,The quadriceps femoris muscle group extends the knee
What is the outer layer of skin called?,Dermis,Epidermis,Hypodermis,Subcutis,B,The epidermis is the outermost layer of the skin
Which artery supplies blood to the brain?,Carotid artery,Femoral artery,Brachial artery,Radial artery,A,The carotid arteries in the neck supply oxygenated blood to the brain
How many bones are in the adult human body?,186,196,206,216,C,An adult human has 206 bones (infants have more which fuse as they grow)
